iter	Passed	Remaining
0	1	118
1	2	111
2	3	107
3	4	101
4	5	98
5	6	96
6	7	96
7	8	95
8	9	93
9	10	92
10	11	91
11	12	89
12	13	89
13	14	87
14	15	86
15	16	84
16	17	83
17	18	82
18	19	81
19	19	79
20	20	78
21	22	78
22	23	77
23	23	75
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	62
39	40	60
40	41	59
41	42	58
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	70	30
70	71	29
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	89	13
87	90	12
88	91	11
89	92	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
